From Date,To Date,PM10,PM2.5,AT,BP,SR
01-11-2019 00:00,01-11-2019 00:15,660,423,19.3,989.5,4.4
01-11-2019 00:15,01-11-2019 00:30,660,423,19.2,989.6,4.5
01-11-2019 00:30,01-11-2019 00:45,567,396,18.7,989.7,4.5
01-11-2019 00:45,01-11-2019 01:00,567,396,18.3,989.8,4.5
01-11-2019 01:00,01-11-2019 01:15,567,396,18.2,989.8,4.5
01-11-2019 01:15,01-11-2019 01:30,567,396,18.2,989.7,4.5
01-11-2019 01:30,01-11-2019 01:45,664,443,18,989.7,4.5
01-11-2019 01:45,01-11-2019 02:00,664,443,18.3,989.7,4.5
01-11-2019 02:00,01-11-2019 02:15,None,443,18.2,989.5,4.5
01-11-2019 02:15,01-11-2019 02:30,664,443,18.2,989.5,4.5
01-11-2019 02:30,01-11-2019 02:45,705,477,18,989.5,4.5
01-11-2019 02:45,01-11-2019 03:00,705,477,18.1,989.5,4.5
01-11-2019 03:00,01-11-2019 03:15,705,477,19,989.5,4.4
01-11-2019 03:15,01-11-2019 03:30,705,477,19.2,989.6,4.5
01-11-2019 03:30,01-11-2019 03:45,733,531,19,989.7,4.5
01-11-2019 03:45,01-11-2019 04:00,733,531,19.1,989.8,4.5
01-11-2019 04:00,01-11-2019 04:15,733,531,18.7,989.8,4.4
01-11-2019 04:15,01-11-2019 04:30,733,531,18.9,989.8,4.5
01-11-2019 04:30,01-11-2019 04:45,653,483,18.5,989.6,4.4
01-11-2019 04:45,01-11-2019 05:00,None,483,18.2,989.7,4.5
01-11-2019 05:00,01-11-2019 05:15,653,483,18,989.7,4.5
01-11-2019 05:15,01-11-2019 05:30,653,483,18,989.9,4.5
01-11-2019 05:30,01-11-2019 05:45,637,484,17.9,990,4.5
01-11-2019 05:45,01-11-2019 06:00,637,484,17.6,990,4.5
01-11-2019 06:00,01-11-2019 06:15,637,484,17.3,990.3,5.4
01-11-2019 06:15,01-11-2019 06:30,637,None,17,990.6,8.6
01-11-2019 06:30,01-11-2019 06:45,633,480,16.9,990.8,17.1
01-11-2019 06:45,01-11-2019 07:00,633,480,16.9,991.1,29
01-11-2019 07:00,01-11-2019 07:15,None,480,17.2,991.5,44.8
01-11-2019 07:15,01-11-2019 07:30,633,480,17.7,991.7,63.1
01-11-2019 07:30,01-11-2019 07:45,626,477,18.4,991.9,85.9
01-11-2019 07:45,01-11-2019 08:00,626,477,19.3,992,112.5
01-11-2019 08:00,01-11-2019 08:15,626,477,20.4,992.1,140.6
01-11-2019 08:15,01-11-2019 08:30,626,477,21.6,992.2,170.6
01-11-2019 08:30,01-11-2019 08:45,741,531,22.9,992.3,201.7
01-11-2019 08:45,01-11-2019 09:00,741,531,23.7,992.3,237.7
01-11-2019 09:00,01-11-2019 09:15,741,531,25,992.3,271.1
01-11-2019 09:15,01-11-2019 09:30,741,531,25.8,992.4,308
01-11-2019 09:30,01-11-2019 09:45,798,531,26.8,992.4,334
01-11-2019 09:45,01-11-2019 10:00,798,531,27.7,992.4,307.5
01-11-2019 10:00,01-11-2019 10:15,798,531,28.3,992.2,383.3
01-11-2019 10:15,01-11-2019 10:30,798,531,29.2,992,425.8
01-11-2019 10:30,01-11-2019 10:45,641,421,29.5,991.8,439.4
01-11-2019 10:45,01-11-2019 11:00,641,421,27.7,991.6,485.4
01-11-2019 11:00,01-11-2019 11:15,641,421,30.4,991.4,458.2
01-11-2019 11:15,01-11-2019 11:30,641,421,30.4,991.2,440.7
01-11-2019 11:30,01-11-2019 11:45,425,272,30.5,991,432.3
01-11-2019 11:45,01-11-2019 12:00,425,272,30.9,990.9,470
01-11-2019 12:00,01-11-2019 12:15,425,272,30.9,990.5,488.7
01-11-2019 12:15,01-11-2019 12:30,425,272,31.3,990.2,422
01-11-2019 12:30,01-11-2019 12:45,428,290,31.2,990,393.2
01-11-2019 12:45,01-11-2019 13:00,428,290,31.5,989.7,416.8
01-11-2019 13:00,01-11-2019 13:15,428,None,31.5,989.4,408.8
01-11-2019 13:15,01-11-2019 13:30,428,290,31.7,989.3,366.2
01-11-2019 13:30,01-11-2019 13:45,471,313,31.9,989.1,353.5
01-11-2019 13:45,01-11-2019 14:00,471,313,32.3,988.8,339.3
01-11-2019 14:00,01-11-2019 14:15,471,313,31.8,988.7,260.9
01-11-2019 14:15,01-11-2019 14:30,471,313,31.6,988.6,222.1
01-11-2019 14:30,01-11-2019 14:45,528,344,32.1,988.5,225.3
01-11-2019 14:45,01-11-2019 15:00,528,344,32.7,988.4,232.4
01-11-2019 15:00,01-11-2019 15:15,None,344,32.6,988.2,215.5
01-11-2019 15:15,01-11-2019 15:30,528,344,32.1,988.2,184.5
01-11-2019 15:30,01-11-2019 15:45,295,195,31.9,988.1,147.1
01-11-2019 15:45,01-11-2019 16:00,295,195,30.9,988.1,100.6
01-11-2019 16:00,01-11-2019 16:15,295,195,30.2,988.2,80.6
01-11-2019 16:15,01-11-2019 16:30,295,195,28.6,988.3,25.6
01-11-2019 16:30,01-11-2019 16:45,338,183,27,988.5,27.1
01-11-2019 16:45,01-11-2019 17:00,338,183,26.2,988.7,22.7
